mastertccode3606	group	statespond	cowmastercountry	masterccode	fatalities19982005	OrgAge	ordsize	terrStrong	degree	ContainRelig	ContainEthno	LeftNoReligEthno	PureRelig	PureEthno	ReligEthno	ContainRelig2	ContainEthno2	Islam
20010	"Anarchist Attack Teams"	0	"Greece"	350	0	3	0	0	0	0	0	0	0	0	0	0	0	0
42	"Anarchist Faction"	0	"Greece"	350	0	7	0	0	0	0	0	1	0	0	0	0	0	0
20011	"Anarchist Faction for Subversion"	0	"Greece"	350	0	8	0	0	0	0	0	0	0	0	0	0	0	0
43	"Anarchist Liberation Brigade"	0	"Greece"	350	0	5	0	0	2	0	0	1	0	0	0	0	0	0
44	"Anarchist Street Patrol"	0	"Greece"	350	0	8	0	0	0	0	0	0	0	0	0	0	0	0
45	"Anarchist Struggle"	0	"Greece"	350	0	6	0	0	1	0	0	0	0	0	0	0	0	0
46	"Anarchists' Attack Group"	0	"Greece"	350	0	6	0	0	0	0	0	1	0	0	0	0	0	0
20012	"Anarkhiki Omadha 20 Louli"	0	"Greece"	350	0	4	0	0	0	0	0	0	0	0	0	0	0	0
56	"Anti-Authority Erotic Cells"	0	"Greece"	350	0	6	0	0	0	0	0	0	0	0	0	0	0	0
59	"Anti-Mainstream Self Determination Faction"	0	"Greece"	350	0	6	0	0	0	0	0	1	0	0	0	0	0	0
20013	"Anti-Olympic Flame"	0	"Greece"	350	0	2	0	0	0	0	0	0	0	0	0	0	0	0
60	"Anti-Power Struggle"	0	"Greece"	350	0	7	0	0	0	0	0	1	0	0	0	0	0	0
62	"Anti-State Action"	0	"Greece"	350	0	7	0	0	1	0	0	0	0	0	0	0	0	0
20014	"Anti-State Defense"	0	"Greece"	350	0	3	0	0	0	0	0	0	0	0	0	0	0	0
63	"Anti-State Nuclei"	0	"Greece"	350	0	6	0	0	0	0	0	1	0	0	0	0	0	0
96	"Autonomous Cells of Rebel Action"	0	"Greece"	350	0	8	0	0	3	0	0	1	0	0	0	0	0	0
108	"Black Star"	0	"Greece"	350	0	7	0	0	3	0	0	0	0	0	0	0	0	0
20018	"Black and Red Brigades"	0	"Greece"	350	0	2	0	0	0	0	0	1	0	0	0	0	0	0
112	"Burning Path"	0	"Greece"	350	0	4	0	0	1	0	0	0	0	0	0	0	0	0
118	"Chaotic Attack Front"	0	"Greece"	350	0	4	0	0	0	0	0	1	0	0	0	0	0	0
121	"Children of Fire"	0	"Greece"	350	0	3	0	0	1	0	0	0	0	0	0	0	0	0
20024	"Commando Anarchist Group"	0	"Greece"	350	0	3	0	0	0	0	0	0	0	0	0	0	0	0
137	"Communists Liberation Faction"	0	"Greece"	350	0	1	0	0	0	0	0	0	0	0	0	0	0	0
138	"Conscientious Arsonists (CA)"	0	"Greece"	350	0	8	0	0	3	0	0	1	0	0	0	0	0	0
20025	"Consciously Enraged"	0	"Greece"	350	0	3	0	0	1	0	0	1	0	0	0	0	0	0
159	"Enraged Proletarians"	0	"Greece"	350	0	5	0	0	0	0	0	0	0	0	0	0	0	0
168	"Fighters for Freedom"	0	"Greece"	350	0	5	0	0	0	0	0	1	0	0	0	0	0	0
169	"Fighting Ecologist Activism"	0	"Greece"	350	0	3	0	0	0	0	0	0	0	0	0	0	0	0
170	"Fighting Guerillas of May"	0	"Greece"	350	0	8	0	0	1	0	0	1	0	0	0	0	0	0
171	"Fires of Hell"	0	"Greece"	350	0	2	0	0	0	0	0	0	0	0	0	0	0	0
182	"Friendship Society"	0	"Greece"	350	0	7	0	0	0	0	1	0	0	0	0	0	1	0
20029	"Group for Social Resistance to the State Mechanism"	0	"Greece"	350	0	2	0	0	0	0	0	0	0	0	0	0	0	0
193	"Group of Carlo Giuliani"	0	"Greece"	350	0	5	0	0	3	0	0	0	0	0	0	0	0	0
206	"Hawks of Thrace"	0	"Greece"	350	0	7	0	0	1	0	1	0	0	0	0	0	1	0
20032	"Immediate Action"	0	"Greece"	350	0	3	0	0	0	0	0	0	0	0	0	0	0	0
20033	"Indomitable Marxists"	0	"Greece"	350	0	2	0	0	0	0	0	0	0	0	0	0	0	0
256	"Knights of the Torched Bank"	0	"Greece"	350	0	3	0	0	0	0	0	0	0	0	0	0	0	0
274	"Leftist Nucleus"	0	"Greece"	350	0	8	0	0	0	0	0	1	0	0	0	0	0	0
290	"05/15/2008"	0	"Greece"	350	0	8	0	0	3	0	0	1	0	0	0	0	0	0
293	"05/01/1998"	0	"Greece"	350	0	8	0	0	1	0	0	1	0	0	0	0	0	0
295	"Melting Nuclei"	0	"Greece"	350	0	8	0	0	0	0	0	1	0	0	0	0	0	0
296	"Midnight Saboteurs"	0	"Greece"	350	0	2	0	0	0	0	0	0	0	0	0	0	0	0
303	"Movement Against State Arbitrariness"	0	"Greece"	350	0	5	0	0	0	0	0	0	0	0	0	0	0	0
330	"New Revolutionary Popular Struggle (NELA)"	0	"Greece"	350	0	4	0	0	1	0	0	1	0	0	0	0	0	0
334	"November's Children"	0	"Greece"	350	0	8	0	0	1	0	0	1	0	0	0	0	0	0
337	"Nuclei for Promoting Total Catastrophe"	0	"Greece"	350	0	2	0	0	0	0	0	0	0	0	0	0	0	0
9813	"Overthrown Anarchist Faction"	0	"Greece"	350	0	6	0	0	0	0	0	0	0	0	0	0	0	0
9814	"Popular Justice"	0	"Greece"	350	0	3	0	0	0	0	0	0	0	0	0	0	0	0
9840	"Popular Resistance"	0	"Greece"	350	0	4	0	0	1	0	0	1	0	0	0	0	0	0
9842	"Popular Revolutionary Action"	0	"Greece"	350	0	3	0	0	2	0	0	1	0	0	0	0	0	0
9843	"Popular Revolutionary Front (LEM)"	0	"Greece"	350	0	7	0	0	0	0	0	1	0	0	0	0	0	0
9850	"Proletarian Reprisals"	0	"Greece"	350	0	4	0	0	0	0	0	1	0	0	0	0	0	0
9851	"Proletarian Resistance"	0	"Greece"	350	0	3	0	0	0	0	0	1	0	0	0	0	0	0
9852	"Proletarian Solidarity"	0	"Greece"	350	0	3	0	0	0	0	0	0	0	0	0	0	0	0
9861	"Red Line"	0	"Greece"	350	0	7	0	0	0	0	0	0	0	0	0	0	0	0
9874	"Revolutionary Brigades"	0	"Greece"	350	0	4	0	0	1	0	0	1	0	0	0	0	0	0
9882	"Revolutionary Liberation Action"	0	"Greece"	350	0	4	0	0	0	0	0	1	0	0	0	0	0	0
9883	"Revolutionary Memory"	0	"Greece"	350	0	3	0	0	1	0	0	1	0	0	0	0	0	0
9884	"Revolutionary Nuclei"	0	"Greece"	350	1	32	0	0	2	0	0	1	0	0	0	0	0	0
9886	"Revolutionary Organization 17 November (RO-N17)"	0	"Greece"	350	1	31	0	0	19	0	0	0	0	0	0	0	0	0
9893	"Revolutionary Struggle"	0	"Greece"	350	0	10	0	0	2	0	1	0	0	1	0	0	1	0
9894	"Revolutionary Subversive Faction-Commando Unibomber"	0	"Greece"	350	0	8	0	0	0	0	0	1	0	0	0	0	0	0
9895	"Revolutionary Torch-Bearing Run"	0	"Greece"	350	0	2	0	0	1	0	0	0	0	0	0	0	0	0
9898	"Revolutionary Violence Group (RVG)"	0	"Greece"	350	0	5	0	0	0	0	1	0	0	1	0	0	1	0
9900	"Rigas Fereos"	0	"Greece"	350	0	7	0	0	0	0	0	0	0	0	0	0	0	0
9922	"Solidarity Gas Canisters"	0	"Greece"	350	0	3	0	0	0	0	0	0	0	0	0	0	0	0
9921	"Solidarity for Political Prisoners"	0	"Greece"	350	0	4	0	0	1	0	0	1	0	0	0	0	0	0
9923	"Solidarity with 17N"	0	"Greece"	350	0	3	0	0	0	0	0	0	0	0	0	0	0	0
20044	"The Committee for Promotion of Intransigence"	0	"Greece"	350	0	3	0	0	1	0	0	0	0	0	0	0	0	0
9956	"Torrid Winter"	0	"Greece"	350	0	3	0	0	0	0	0	0	0	0	0	0	0	0
9972	"Uncontrolled Rage"	0	"Greece"	350	0	4	0	0	0	0	0	0	0	0	0	0	0	0
20096	"Cypriot Nationalist Organization (OKE)"	0	"Cyprus"	352	0	2	0	0	0	0	1	0	0	0	0	0	1	0
109	"Black Widows"	0	"Russia"	365	52	6	0	0	1	1	1	0	0	0	1	0	0	1
144	"Dagestan Liberation Army"	0	"Russia"	365	248	7	1	0	0	1	1	0	0	0	1	0	0	1
307	"Movsar Baryayev Gang"	0	"Russia"	365	162	4	0	0	1	1	1	0	0	0	1	0	0	1
329	"New Revolutionary Alternative"	0	"Russia"	365	0	7	0	0	0	0	0	0	0	0	0	0	0	0
9859	"Red Guerrillas"	0	"Russia"	365	0	4	0	0	0	0	0	1	0	0	0	0	0	0
9901	"Riyad us-Saliheyn Martyrs' Brigade"	0	"Russia"	365	514	4	1	0	4	1	1	0	0	0	1	0	0	1
20043	"Russian National Bolshevist Party"	0	"Russia"	365	0	13	3	0	0	0	1	0	0	0	0	0	1	0
9902	"Russian National Unity"	0	"Russia"	365	0	8	2	0	0	1	1	0	0	0	1	0	0	0
9937	"Sword of Islam"	0	"Russia"	365	0	8	0	0	1	1	1	0	0	0	1	0	0	1
99	"Bagramyan Battalion"	0	"Georgia"	372	0	8	1	0	0	0	1	0	0	0	0	0	1	0
189	"Global Intifada"	0	"Sweden"	380	0	4	0	0	0	0	0	1	0	0	0	0	0	0
9892	"Revolutionary Socialists"	0	"Sweden"	380	0	7	0	0	0	0	0	1	0	0	0	0	0	0
20002	"Action Group Extreme Beate"	0	"Denmark"	390	0	1	0	0	0	0	0	1	0	0	0	0	0	0
9936	"Supporters of Horst Ludwig Meyer"	0	"Denmark"	390	0	7	0	0	0	0	0	1	0	0	0	0	0	0
81	"Armed Forces Revolutionary Council (AFRC)"	0	"Sierra Leone"	451	0	8	2	1	0	0	0	0	0	0	0	0	0	0
9896	"Revolutionary United Front (RUF)"	1	"Sierra Leone"	451	0	15	1	1	0	0	0	0	0	0	0	0	0	0
210	"Hisba"	0	"Nigeria"	475	0	5	0	1	0	1	0	0	1	0	0	1	0	1
20031	"Iduwini Youths"	0	"Nigeria"	475	0	2	1	0	0	0	1	0	0	0	0	0	1	0
30036	"Odua Peoples' Congress"	0	"Nigeria"	475	0	7	0	0	0	0	1	0	0	1	0	0	1	0
304	"Movement for Democracy and Justice in Chad (MDJT)"	1	"Chad"	483	1	4	1	1	0	0	0	1	0	0	0	0	0	0
9846	"Popular Self-Defense Forces (FAP)"	0	"Congo, Democratic Republic of / Zaire"	490	0	13	2	1	0	0	1	0	0	1	0	0	1	0
278	"Lord's Resistance Army (LRA)"	1	"Uganda"	500	458	14	2	1	0	1	0	0	1	0	0	1	0	0
314	"National Army for the Liberation of Uganda (NALU)"	0	"Uganda"	500	30	18	1	1	0	0	0	0	0	0	0	0	0	0
9812	"Oromo Liberation Front (OLF)"	0	"Ethiopia"	530	15	6	0	0	0	0	1	0	0	1	0	0	1	0
20026	"Eritrean Islamic Jihad Movement (EIJM)"	1	"Eritrea"	531	2	26	0	0	1	1	0	0	1	0	0	1	0	1
185	"Front for the Liberation of the Cabinda Enclave"	0	"Angola"	540	6	43	2	0	0	0	1	0	0	0	0	0	1	0
9973	"UNITA"	0	"Angola"	540	270	40	3	1	0	0	0	1	0	0	0	0	0	0
312	"Muslims Against Global Oppression (MAGO)"	0	"South Africa"	560	1	8	1	0	1	1	0	0	1	0	0	1	0	1
321	"National Warriors"	0	"South Africa"	560	1	4	0	0	0	0	0	0	0	0	0	0	0	0
9824	"People Against Gangsterism And Drugs (PAGAD)"	0	"South Africa"	560	0	11	1	0	1	0	0	0	0	0	0	0	0	0
9951	"Tigers"	0	"Swaziland"	572	1	8	0	0	0	0	0	0	0	0	0	0	0	0
30037	"Salafia Jihadia"	0	"Morocco"	600	1	9	1	0	2	1	0	0	1	0	0	1	0	1
82	"Armed Islamic Group"	0	"Algeria"	615	401	14	1	0	4	1	0	0	1	0	0	1	0	1
9904	"Salafist Group for Call and Combat (GSPC)"	1	"Algeria"	615	8	10	1	0	2	1	0	0	1	0	0	1	0	1
202	"Harakat al-Shuhada'a al-Islamiyah"	0	"Libya"	620	4	10	0	0	0	1	0	0	1	0	0	1	0	1
9935	"Sudan People's Liberation Army"	0	"Sudan"	625	4	23	3	1	0	0	1	0	0	1	0	0	1	0
9971	"Ummah Liberation Army (ULA)"	0	"Sudan"	625	0	7	3	0	0	0	0	0	0	0	0	0	0	0
20062	"Arbav Martyrs of Khuzestan"	0	"Iran"	630	10	1	0	0	0	0	1	0	0	0	0	0	1	0
30032	"Jund Allah Organization for the Sunni Mujahideen in Iran"	0	"Iran"	630	1	1	0	0	0	1	0	0	1	0	0	1	0	1
67	"Apo's Revenge Hawks"	0	"Turkey"	640	0	7	0	0	3	0	1	0	0	0	0	0	1	0
68	"Apo's Youth Revenge Brigades"	0	"Turkey"	640	0	7	0	0	3	0	1	0	0	0	0	0	1	0
136	"Communist Workers Movement"	0	"Turkey"	640	0	5	0	0	0	0	0	1	0	0	0	0	0	0
150	"DHKP-C"	0	"Turkey"	640	15	28	0	0	5	0	0	1	0	0	0	0	0	0
226	"Islamic Great Eastern Raiders Front"	0	"Turkey"	640	1	31	0	0	1	1	1	0	0	0	1	0	0	1
261	"Kurdistan Freedom Hawks"	0	"Turkey"	640	5	2	0	0	1	0	1	0	0	0	0	0	1	0
262	"Kurdistan Workers' Party (PKK)"	1	"Turkey"	640	31	32	2	0	10	0	1	0	0	0	0	0	1	0
323	"Nationalist Kurdish Revenge Teams"	0	"Turkey"	640	0	7	0	0	3	0	1	0	0	0	0	0	1	0
9825	"People's Liberation Army of Kurdistan (ARGK)"	1	"Turkey"	640	47	22	2	0	1	0	0	0	0	0	0	0	0	0
9953	"TKEP/L"	0	"Turkey"	640	1	16	1	0	0	0	0	1	0	0	0	0	0	0
9954	"TKP/ML-TIKKO"	0	"Turkey"	640	29	34	1	0	2	0	0	1	0	0	0	0	0	0
9966	"Turkish People's Liberation Front (TPLF)"	0	"Turkey"	640	0	35	0	0	1	0	0	1	0	0	0	0	0	0
30024	"1920 Revolution Brigades"	0	"Iraq"	645	0	3	0	0	1	1	1	0	0	0	1	0	0	1
1	"Abu Bakr al-Siddiq Fundamentalist Brigades"	0	"Iraq"	645	0	2	0	0	0	1	0	0	1	0	0	1	0	1
10108	"Abu al-Abbas"	0	"Iraq"	645	0	2	0	0	1	1	0	0	1	0	0	1	0	1
20006	"Al-Bara bin Malek Brigades"	0	"Iraq"	645	5	1	0	0	1	1	0	0	1	0	0	1	0	1
30026	"Ali Bin Abu Talib Jihad Organization"	0	"Iraq"	645	0	1	0	0	0	1	0	0	1	0	0	1	0	1
51	"Ansar al-Islam"	0	"Iraq"	645	11	5	1	1	4	1	0	0	1	0	0	1	0	1
52	"Ansar al-Jihad"	0	"Iraq"	645	0	2	0	0	0	1	1	0	0	0	1	0	0	1
53	"Ansar al-Sunnah Army"	0	"Iraq"	645	168	3	1	0	6	1	0	0	1	0	0	1	0	1
